review_text,rating
"Comprei a tv e a mesma foi preparada para envio em 15/12/17, sendo o prazo de entrega de 02/01/18. Moro no interior de São Paulo e sempre compro na Americanas, os produtos sempre chegam bem antes do prazo. Contudo, desta vez, o produto demorou uma semana para sair do RJ e chegar a Presidente Prudente-SP (minha região) e desde o dia 22/12/17, ou seja, há mais de 10 dias, o produto está PARADO em Presidente Prudente. A transportadora é a DirectLog. Tentei contato diversas vezes por telefone, e-mail, redes sociais, e não obtive nenhuma resposta. TRANSPORTADORA PÉSSIMA!!!! Estou muito insatisfeita e decepcionada por uma empresa que nunca tive problemas como a Americanas, contratar o serviço desta transportadora que não respeita o consumidor ao menos para dar uma resposta.",1
atende as  minhas necessidade para o trabalho que vou realizar,3
O aparelho é bom. Mas acho que tinha que vir com um suporte para guardar e conservar melhor o aparelho e os acessórios.,3
"Aparelho atende super bem, conforme configurações informadas na descrição técnica! Super satisfeito com o desempenho e recursos disponíveis!  Importante: Para quem não está acostumado com aparelhos maiores, não recomendo, pois a tela de 5,5"" proporciona ótima visibilidade, por outro lado, difícil executar tarefas nele com única mão/carregar no bolso (no caso de bolsos pequenos/apertados).  No mais, Gerais!",5
"gastei mais de 80,00 reais com chocolate e esse brinquedo é horrivel ele não puxa o chocolate e as pilhas acabam rapido pois ele nao suga o chocolate e fica gastando as pilhas alem do chocolate gastei mais de 40,00 em pilhas",1
Minha namorada adorou Especialmente pq ela sempre usou essas porcarias q vendem em praia. Agora com um oculos de verdade ela usa o tempo todo.  Só reclamou de ele ser muito apertado mas acho que com o tempo ele vai se adaptando.,4
"Ótimo produto, de boa qualidade e muito eficiente.",5
"Este anuncio e outros similares desta caixa pode induzir o comprador ao erro. É só a caixa, sem auto falantes.",1
"Já acho um absurdo uma boneca dessas custar o que custa, mas vir com defeito faltando parte da cabeça foi demais... Decepção para minha afilhada no Natal.",1
Ótimo produto gostei muito deste produto e recomendo para que quiser uma tv de qulidade.,5
"Protudo muito bom, bem pratico de utilizar ao ligar o volume do processamento e baixo que é muito bom teclas de funções muito praticas e uteis no dia a dia. Recomendo.",4
Entrega pontual. Produto atendeu às expectativas. Compra sem nenhuma intercorrência. Tudo certo.,4
"Lindo,leve e atendeu minhas expectativas!valeu a pena,custo baixo com qualidade.",5
"O projetor superou as expectativas, muito bom por um preço bem acessível.",5
Não é tão vermelho mas é um bom produto recomendo muito bom o preço,3
"Super recomendo!!! Ótimo produto, entrega antes do prazo, super confiável...",4
"Amo Samsung,celular maravilhoso com ótimas funções.",5
Nossa o liquidificador é uma graça....funciona de verdade!! A minha neta amou! Ah super recomendo!! E como sempre a Americanas express foi excelente!! Nota 1000 para o liquidificador e para a Americanas!! :)))),5
"Adorei os travesseiros, muito macio. Não senti nada de cheiro ruim. Perfeito eu indico para todos.",5
"Muito bom, 100% satisfeito, só esperava um pouco mais da bateria...",4
"Fiz a compra em Novembro, e ate a data de hoje 02/01 ainda não chegou.......os produtos que adquiri no mesmo dia chegaram antes do dia 20/12, e não obtive resposta de previsão",1
"O produto é de ótima qualidade. Com relação a entrega, tudo ok.",4
"Produto de fabricante confiável, excelente qualidade.",5
"Comprei o multiprocessador nas lojas americanas o produto veio com avarias e demorou trinta dias para chegar decepcionada com a loja nunca mais compro. Entrei em contato com a loja e enviei vários emails, falaram que iriam entrar em contato comigo, mas até agora não tive retorno.",1
"produto de qualidade excelente, deixa o cabelo super macio e muito cheiroso, recomento a todos",5
"É um excelente sistema para quem não quer ter dor de cabeça ao configurar ou para quem não conhece muito bem redes IP. Troquei dois repetidores que tinha (e que só davam problemas) por este sistema. O APP para Android/Iphone é bem simples de operar e bastante interativo durante a configuração da rede. A cobertura parece boa, mas ainda não testei até os limites de meu imóvel. Só achei um pouco caro.",5
"Meu produto ainda nem chegou e vcs estão me mandando e-mail para avaliar? Não entendi, e o meu produto que não chega, está demorando demais! Eu só comprei porque já conhecia.",5
"Pedi uma bicicleta verde e laranja e veio uma verde e azul!! Nao trlquei pois meu filho ficaria desapontado de nao poder usar no dia seguinte! E um erro primario! Att, sofia",2
"Produto excelente, prazo de entrega ótimo, recomendo!!!!",4
Ótimo produto trouxe muita privacidade ao meu apartamento a sala fica realmente escura mesmo em dias de.muito sol.,4
Os botões analogicos param de funcionar com menos de um mes de uso.,1
"Prático, já testei e amei, já comprei outro pra dar de presente.",5
"O aparelho possui pouca capacidade de captar o sinal de internet. Terei que comprar outro aparelho pois não consigo conectar na internet. O aparelho está programado para atender à operadora Oi e a sua tela de iniciação apresenta o logotipo da Oi. Não fiz nenhum acordo com esta operadora portanto, não fiquei satisfeito com isto. Quando estou numa área onde o sinal é MUITO FORTE, o aparelho funciono bem. Mas se o sinal é um pouco fraco, já começam os problemas.",2
Produto entregue em 1 semana! Muito rápido! Ótima qualidade! Recomendo!,5
"Ótimo produto. Silenciosa, tem várias  opcoes de lavagens.  Super recomendo o produto.",4
Produto muito bom atendeu minhas expectativas  recomendo sem sombra de duvidas,5
"O atendimento foi muito bom, o produto otimo não tem nem o que dizer. Só não vou dar excelente por que estou com o produto a pouco tempo, pois estava de viagem, então se der problema ou algo do tipo (espero que não) eu possa trocar, parabéns positivo que esta me surpreendendo a cada dia e parabéns lojas americanas pelo atendimento e pela preocupação, com certeza voltarei a comprar com a loja.",4
"O celular é excelente, mas veio bloqueado, sem acesso a Internet, foi quando descobri,que o mesmo  era importado. Procurei a assistência técnica oficial da Sony, a qual alegou que o celular não tinha garantia por ser importado. Tive que pagar para a assistência técnica, instalar um programa para ter acesso a Internet, e poder usar o celular. A minha preocupação e  duvida, é caso tenha problemas com o celular, como vou ter direito a assistência técnica, no período de garantia, já que o celular é importado?Lembro que comprei numa loja virtual brasileira  ( Americanas), no Brasil.",5
"No modo TV, a resolução da imagem é boa, mas  não é excelente. Já na netflix, youtube ou HDMI, a imagem é aquilo que esperamos de uma tv full hd. No geral estou satisfeito, apesar que o controle que vem junto com a tv é diferente da imagem divulgada neste site. Por exemplo a tecla dedicada para o YOUTUBE foi substituida pela tecla do app GLOBOPLAY. Então para acessar o YOUTUBE temos que presionar no mínimo 3 teclas diferentes, varias vezes, até o acesso definitivo do YOUTUBE. Isso é chato.",4
Produto com qualidade de imagem ruim.  As imagens são pixelizadas e com fraca nitidez. Qualidade de vídeo e áudio mediana pra mal.  A função wifi nao funciona bem.  Não recomendo.,1
"Lindo!! Ficou muito chique na minha cozinha, produto de qualidade!!",5
"Recomendo a todos, a sanduicheira é ótima... Sem mais palavras, excelente, amei",5
"Gostei muito do produto, e recomendo, produto bom, entrega dentro do esperado",4
"Não recomendo, bateria não dura nem uma hora, televisão analogica não pega, radio não sintoniza, a unica coisa boa e a imagem da tela e muito boa.",2
"aparentemente é um bom produto, mas é importante destacar que ele é para correntes de 20 amperes (plugue com pinos mais grossos), e não deve ser usado nas ligações padrão de 10 amperes; é necessário adaptar a rede elétrica pra usá-lo",3
"Produto recebido no prazo e de ótima qualidade, a película encaixou perfeitamente no Moto G4 Play.",4
O aspirador Funcionou satisfatoriamente.  Um pouco barulhento.  Esta é a minha avaliação  Att,5
"Recebi o produto faltando uma peça, ao entrar em contato fui orientado a abrir um protocolo do ocorrido , gerado o protocolo não obtive nenhum retorno dentro do prazo estipulado de 48hrs úteis, tive que que entrar em contato com a empresa que intermediou a entrega pois por parte das Americanas.com não teve nenhum retorno,ao entrar em contato com a empresa Dufrio solicitaram para aguardar, deixei passar um dia após das 48hr úteis e entrei em contato com as Americanas.com mas não consegui contato , tão pouco obtive um retorno,entrando em contato com a Empresa Dufrio novamente para ver se alguém poderia ajudar no meu problema a atendente do setor de e-commercce transferiu para o setor de pós venda que explicou o motivo que a peça faltante não estava mais sendo enviando com o produto,então para apenas passar uma informação e orientação que levou 15 minutos aguardei 6 dias para poder saber e resolver em tese o problema a qual tive que entrar em contato com a Electrolux para saber do procedimento ao utilizar o produto sem a peça que estava faltando.Resumindo deixo minha total insatisfação pelo canal de atendimento da Americanas e da Empresa Dufrio pela falta de profissionalismo e respeito ao consumidor,lamentável. Por minha parte não efetuaremos mais nenhuma compra. Protocolos Atendimentos: 2517122215152 e 2517121808650.",1
Só o microfone que dá muito ruído...mas o aparelho já tenho igual ...da mesma marca faz mais de três anos sem nenhum defeito e a bateria ainda dura umas três horas...,5
O produto tem propaganda enganosa. Só consegue descascar maça. Frágil e as ventosas não prendem a máquina,1
"Não gostei muito da chapinha, pq fica agarrando no cabelo.",3
"O produto em si é ótimo, imagem perfeita, e som de acordo, o que me incomodou muito foi o controle remoto ser muito simples, não tem ponteiro de mouse e nem teclado numérico, para se navegar na internet, youtube etc é muito difícil, te obriga a adquirir um teclado e mouse Wifi",3
"Linda bola de pelúcia, acabamento impecável! Poderiam fazer em um tamanho pequeno também, para bebês. Mas o produto é muito bom.",5
"Gostei muito do produto, e presente agradou muito à quem recebeu.",4
"Bom relógio , faltou inclinação para poder ver as horas de longe e um pouco escuro para enxergar os números. Mas é bom que usa pilha e não fio elétrico",3
Excelente produto. Ótima qualidade. Gostei muito da aquisição.,5
Não gostei. Achei bem ruim a qualidade de impressão.,2
"Quando fiz a compra o prazo era de 10dias, dai no email de confirmação o produto tinha mudado a entrega pro dia 10 de janeiro, atá agora ñ recebi nada, fora que era presente de natal.",1
"Bonito, barato entrega dentro do prazo. Moderno recomendo contratar um montador, porque sozinho é complicado, muitas peças.",3
"Vendi minha cozinha inteira, agora so preciso desse copo, ele faz tudo. Comprei pra todos da minha familia",5
muito bom tanto a loja como a entrega super rapido..,5
"Aparelho muito bom, tela ampla, muito nítida. Apenas pequena as questões funcionais poderiam ser melhoradas. Preço justo!",4
Produto chegou antes do prazo e em perfeito estado.,5
O produto é de bom estado e chegou dentro do prazo,3
Excelente ferramenta. Otimiza as tarefas quando o assunto é reparo.,5
ótima aquisição. Atendeu perfeitamente às minhas expectativas,5
Tenis muito bom leve muito confortável produto de muito boa qualidade,4
Adorei excelente produto e ainda chegou uma semana antes da data prevista...eu super indico!,5
"O Produto atende para um lugar pequeno e para quem não exige muita qualidade. Bem simples, atendeu a expectativa onde foi fixado. Ideal para quem não tem muitos utensílios.",3
"Chegou no prazo descrito pelo site, com uma pequena avaria no Condensador de ar, mas nada me tenha tirado a paciência.",5
"A torneira não parece muito resistente quando você a movimenta de um lado para outro. Mas o filtro é ótimo e o design também. Pelo preço, foi uma ótima compra.",4
"Já estou cansada de reclamar, e não obtive nenhuma resposta do que fazer com o produto. Estou escrevendo para o Reclame Aqui. Absurdo não ter uma telefone que eu possa falar.",1
"Produto muito confortável e veste super bem, eu recomendo! Meu namorado veste 44 e serviu bem o tamanho G.",5
"Como assim? Comprei e não recebi. Questionei aqui nas lojas americanas, Os Correios registraram como produto entregue e ficou por isso mesmo! Meus protestos! (Mesmo sabendo que tudo será como antes!)  OBS.: NÃO RECOMENDO AS LOJAS AMERICANAS! Grrrrr!",1
"Produto otimo se adaptou em meu celular nao tive nenhum problema, estou muito satisfeito Obrigado",4
Produto muito potente e de ótima qualidade ! Gostei muito,5
abcd xxxxxxx xxxxxxx xxxxxx xxxxxx  abcd xxxxxxx xxxxxxx xxxxxx xxxxxx  abcd xxxxxxx xxxxxxx xxxxxx xxxxxx,4
"Tive problema com a entrega e nenhum auxílio do vendedor. Não sei se o erro foi da Americanas ou do Ateliê Magazine,mas ao realizar a compra fiz alteração de endereço e mesmo assim entregaram no meu antigo endereço. Para começar me passaram o cód. rastreio diferente,então questionei sobre o prazo de entrega e me informaram que já havia sido entregue mas o status do aplicativo ainda não informava isso. Então tive que me virar e tentar recuperar o produto.Enfim NÃO RECOMENDO , DESORGANIZADOS define. De que adianta o comprador atualizar e preencher cadastro se não levam em conta?",2
O produto é de excelente qualidade super recomendo,5
"Eu poderia dar excelente, pois é linda a bateira, porem veio com o acessório quebrado, e como não foi possível trocar em loja física, e a burocracia pra troca ia me dar mais dor de cabeça, pois ja demorou uma eternidade pra entregar, pra trocar então poderia esquecer! Sei que minha opinião não vai aparecer, mas é a verdade!",3
"O valor do frete não compensa. Simples assim. Posso comprar em outra loja, sem pagar esse absurdo.",1
"Sou super fã da dupla e pra mim ter o cd e dvd é a melhor escolha, mesmo com toda tecnologia",5
Produto bom. Porém comprei errado e a tela é muito pequena.,3
Recomendo este produto!! Boa qualidade Envio imediato.,3
"Estou no início da minha avaliação, nas estou gostando muito, a duração da bateria é um dos destaques",5
Estou muito satisfeita com a tv LG. É bem como eu estava esperando.,4
"Produto atende as necessidades diárias, e o tempo escasso para tomar um café expresso.",4
Ótimo produto. Ideal para quem recebe muitas visitas,4
"A entrega foi feita um dia após o prazo dado, nos deixando aflitos pois era presente de Natal. No mais correspondeu às expectativas.",3
Vamos ver a durabilidade por enquanto está tudo bem,4
Produto de qualidade Tramontina. Gostei. Prazo de entrega muto bom. Todas em teflon anti-aderente.,5
o produto ê otimo so nao tem os botoes  para troca de canais,4
"Sempre compro com Americanas, e nunca deixa à desejar. ótimos produtos e entregue sempre antes da fata prevista, super recomendo!!!",5
"Produto muito bom cumpre o que promete,e com ótimo preço,com certeza recomendo, e chegou antes do previsto.",3
"gostei.preco muito bom ,material tambem entrega rapida",3
"Gostamos muito da fritadeira, esperamos que dure bastante, porque as crianças também adoraram.",5
"Compraria outro,muito bom ,tem tudo o que minha mãe queria.",3
"Fácil instalação, vem completo (até fita veda rosca vem), fluxo de agua bom.",5
"Gostamos do produto , mas tive uma péssima experiência com na entrega , fiz uma compra pro chegar antes do Natal prq era um presente para minha filha , mas chegou bem depois , estou decepcionado..",3
NA IMAGEM MOSTRAM UM ACABAMENTO CROMADO NA PARTE DE CIMA...MAS VEIO UM PLASTICO HORRÍVEL QUE NÃO DA ENCAIXE NO TETO!!!,1
"Lindo, prático e barato!!! Super recomendo .. Facil instalção e rapidez na entrega!",5
"Muito bom o produto. Gostei da Tela, da fluidez e principalmente de poder dividir a tela em dois aplicativos.",5
"Sem avaliação negativa, só tomar cuidado que possui peças muito pequenas, dependendo da idade da criança, não é recomendado.",4
"Na oferta tinha várias estampas, mas não dava para escolher uma. Arrisquei, pois todas as estampas agradavam... algumas mais do que outras, mas nenhuma me deixaria decepcionada. Chegou na minha casa um assento com tema infantil (que não aparecia na oferta) e tamanho infantil também. Ao tentar entrar em contato com a empresa, a burocracia para efetuar a troca era tão grande, que desisti. Dinheiro jogado no lixo! Absurdo!",1
superou minhas expectativas um produto de muita qualidade! !,4
Boa qualidade e bonito confortavel. A entrega foi rapida. Acho ate que vou comprar mais. O preco e otimo.,4
Produto com a qualidade anunciada. Embalagem um pouco danificada quando chegou mas o produto estava intacto,4
Apesar da capa do DVD ser dos personagens atuais os dvds são todos antigos.,2
"Comprar via internet nunca mais, principalmente na americanas.com, total absurdo! passei diversos e-mail e liguei para saber de meu pedido que já fiz, agora recebo e-mail para avaliar o pedido feito em 01/12/2017 que até o presente momento não tive se quer uma resposta !!!! Americanas.com deixa qualquer um vender em seu site sem saber a procedência do produto e de quem a está vendendo.",1
"Gostaria de agradecer as pessoas super atenciosas da Mastertronic, entenderam minha situação, tenho uma viagem marcada e precisava do kit com urgência e a camera chegou muito antes que o esperado, peço ate desculpas pelas mil ligações, pois como não conhecia a empresa, fiquei um pouco desconfiada, mas me atenderam muito bem todas as vezes que liguei e tiraram todas as minhas dúvidas. Obrigada!",5
"Otimo, excelente produto, chegou rapido, dentro do prazo, recomendo, chegou certinho.",5
"Os produtos da Samsung normalmente são muito bons!  O único aspecto que achei negativo nessa TV é a localização das entradas para o cabo HDMI, fica na parte de trás e não tem nenhuma na lateral. Isso é muito ruim na prática, principalmente quando a TV é colocada em suporte.",3
"Um livro maravilhoso, vale a pena ter na estante ♡",5
"nao recebi ainda, faz um mes que fiz o pedido. Fui ao correio e nao estava la",1
"Excelente compra, preço bom e de ótima qualidade! Atendimento da loja Lcg Eletro nota 10, recomendo!",5
"Produto muito bom, com acabamentos como esperado .",5
produto chegou rápido e em perfeitas confdções  Eu recomendo ok,3
Muito bom! Micro ondas bonito e silencioso. Gostei!,4
"Não compraria o produto por não ter as medidas e especificações do mesmo, mas pesquisei em outro site e aproveite para compartilhar-las aqui com pessoas também precisam de tais informações para comprar sem ter  dúvidas...  Características do Produto: Tipo de Panela: Conjunto de Panelas Material: Alumínio Quantidade de Peças: 10 Revestimento: Antiaderente  Informações Adicionais: Alumínio com revestimento interno e externo de antiaderente Starflon T1. Cabos, alças de baquelite antitérmico e pegadores de nylon. Tampas de vidro temperado com borda de aço inox. Utensílios de nylon.  Itens Inclusos: Assadeira funda 28cm 2,9l Caçarola 18cm 2,0l Caçarola 20cm 3,0l Fervedor 12cm 1,0l Forma para torta e bolo 22cm 1,3l Frigideira reta 22cm Frigideira 18cm Frigideira 22cm Panela 16cm 1,5l Panela 18cm 2,0l  Garantia: Contra Defeito de Fabricação  SAC - Fornecedor Tramontina (31) 3223 4026",3
"Achei um pouco lento e com um barulho que gera desconforto durante o uso mas,  no geral.  atende a finalidade.",3
"GOSTEI MUITO DO PRODUTO. COMPREI 3 KITS COM 10 . MEUS MENINOS USARAM, FALARAM QUE É BEM CONFORTAVEL E MACIO. LAVEI E CONTINUA MUITO BOAS. O PREÇO É MUITO BOM",5
"Já veio com defeito, nunca consegui utilizar o produto, e bao houve troca.",1
"Gostei muito do produto, só fiquei um pouco insatisfeito com o prazo, estava previsto para chegar em 10 dias e chegou em 30!",4
"Excelente produto, chegou antes do pravo marcado. Recomendo.",5
produto com excelente qualidade e bom preço. Recomendo o produto,4
Quero saber o porque de ainda não entregaram o produto que eu comprei. A data final da entrega era dia 22/12/2017 . Ainda nao recebi o meu produto . Primeira e ultima vez que compro nas Lojas Americanas. Nao os recomendo !,1
"Gostei do produto, recomendo! Podem compraram sem medo!",4
"Produto com peça faltando, ninguém dispôs a resolver o problema, nem atender meus pedidos como forma de resolve-lo. Não recomendo...",1
"O prazo foi correto. No entanto, o produto chegou em minha residência danificado e com uma cor diferente com o que havia escolhido.",1
"Patinete não presta..não funciona. Estou ha uma semana tentando devolver e receber meu dinheiro de volta e não consigo ajuda nem da Magazine Cecilia e nem da Americanas...não recomendo. Dinheiro jogado no lixo. Comprei de natal para meu afilhado e tive que correr dia 26/12 em uma loja para comprar outro..paguei o dobro do preço, mas não podia esperar uma resposta dessas lojas. Decepção total",1
"Producto bom, bonito e barato. Pronta entrega antes do prazo... sensacional!",5
"Produto bom, um pouco pesado, a montagem é simples, não é necessário ferramentas pesadas, alem da parafusadeira que é facilmente substituída, vem com chave allen pra parafusar as peças. Mas eu amei, chegou com menos de 1 mês, fiquei surpresa. Só tomar cuidado com o tornozelo pois o espaço entre o chão e cama pode machucar um pouco.",5
"Ótimo produto, com excelente acabamento e funcionamento, achei muito bom o custo x benefício.",4
"Fiz muitas pesquisas antes de comprar, queria algo que exigisse força, faço musculação, treino pesado e não queria nada muito leve, comprei esta é adorei, estou pedalando no nível 3 e fico morta...kkkk, recomendo com certeza!",5
Muito bom. Indico produto. Assim como a.pontualidade da entrega.,4
Ótimo produto porém após a compra encontrei em minha cidade mais barato.,4
Show de bola galerinha...vamos recomendado ... chegou antes do prazo estipulado.,5
"Exelente! Muito bom mesmo fiquei super feliz. Super recomendo, entrega perfeita e antes do prazo.",5
"Comprei 3 produtos, apenas esse não chegou. O prazo de entrega era um, final de dezembro, depois se estendeu para outro, dia 09/01, e até agora, quando consulto, nem foi emitida a nota fiscal ainda. Comprei os produtos na Americanas, pq juntos iriam ficar com o preço melhor do q em outro lugar. Preciso do produto para trabalhar, fiz o pagamento a vista, mas estou decepcionada com a entrega deste produto em questão.",1
"Prático, Fácil e Eficiente  Se soubesse que era tão prático assim teria comprado antes...",5
"Recomendo para seu filho, ele pode criar usar a imaginação.",5
O relógio é tão lindo qto na foto! Perfeito! Correspondeu a todas as minhas expectativas.,4
"O produto com esse valor, aproveitei e comprei pra família toda (463863565 pessoas). Aproveitem antes que acabe o estoque!",5
Olha gostei do produto ainda não o adquiri pois quero saber se o mesmo vem acompanhado dos cabos USB pois na imagem só mostra a fonte. Sera que alguém pode me tirar essa duvida por favor ?,4
Eu recomendo o tapete sim... Pela foto achei que era mais felpudo... mas é um bom produto gostei...,3
"A caixa não funciona mais, não recebe carga. Não consigo carregar.",1
"Bom produto e boa entrega, chegou antes da prazo definido",4
"Comprei de presente para meu namorado, bom... ele simplesmente adorou e disse que foi muito criativo (ele adora jogos).  É muito simples de usar e prático.",4
"Gostei muito!!! Atendendo as expectativas, ainda conhecendo melhor o produto.",3
"pedi azul veio cinza, não recomendo muito fraco e mal feito",1
Tv muito básica. Não tem nada de especial nela. Não tem aplicativo da netflix. Apenas youtube.,2
"Pneus ótimos. Entrega super rápida. Loja entrou em contato para que todos os detalhes fossem esclarecidos e realizados. A loja parceira da minha cidade realizou muito bem a montagem dos pneus. Enfim,recomendo à todos.",4
"chegou dentro do prazo, eu recomendo a compra neste site,",4
"Superou minhas expectativas. Tábua muito boa, pequena como eu necessitava devido espaço limitado. Instalação é fácil, somente 4 furos com bucha na parede, e o sistema de dobra é simples. Enfim, recomendo!",4
"A boneca faz o que promete, minha filha adorou! Só não recomendo para crianças com menos de 08 anos.",4
Muito bom o celular chegou antes do prazo eu recomendo,4
"Excelente produto, não vivo sem!!! Facilita a vida na cozinha na preparação de alimentos. Recomendo sempre!!!",5
Super recomendo! Muito legal! Meu filho adorou!     Produto de otima qualidade,5
Porque não serve para pequenos comércio eu acho que comprei errado não tem celo do imetro porque porque marca os presos se é residencial não entendi nada me dei mal será,3
"POLTRONA EH MUITO RUIM. PÉSSIMA QUALIDADE. EM UM MÊS ELA JA ERA. E  PIOR NINGUÉM RESOLVE, AMERICANAS EMPURRA PRA MY SHOP. QUE NÃO RESPONDE EMAIL. NÃO COMPREM.",1
"O adaptador de janela é pequeno. Liguei para assistência técnica e o atendimento foi demorado, a solução que a atendente me passou  foi para eu deixar a janela aberta para o tubo ou fazer um buraco na parede. Estou com ele aqui para devoluçao. Fiz o pedido no mesmo dia, mas até hoje ninguém buscou. Não recomendo.",1
Produto bom entrega rápida gostei e recomendo se possível comprarei mais vezes com vocês.,3
"As cordas vieram bem embaladas, funcionamento dentro do esperado. Bem antes do prazo previsto. Muito satisfeita.",3
"Produto de ótima qualidade, Entregue no prazo e bem embalado",5
"Amei, super leve , com configurações descomplicadas. Chegou muito rápido, recebir em 2 dias! Eu recomendo.",5
Até então estou muito satisfeito. Carregou meu J5 bem rápido. Aguardo para ver se ela não vicia a carga muito rápido.,5
O produto seria prático se cumprisse o que promete. Ele demora muito para depilar e acaba irritando a pele. É  o mesmo efeito da lâmina.  O transporte foi rápido e o produto chegou bem embalado .,1
"Produto corresponde às minhas expectativas, muito eficaz.",5
"....Walita Master Pro era modelo anterior, funciona ate hoje,robusto e mais silencio porem pouco menos pratico em relação ao atual.,natural evolução !!! Mas ""Excelente"" produto a mais dez anos sem nenhuma manutenção. Comprei um mais atualizado e pratico ao uso dos acessórios,porem Barulhento..fica ai a dica para posterior melhorias,qto a trituração dos alimentos no liquidificador a granulação e maior ao anterior.devido o novo designer das laminas. Enfim um ""Bom"" produto ..ha pontos a ser aprimorados para atingir a Excelência.",3
"Após instalação o ar não gelou, o instalador da MAC  (Campos dos Goytacazes) pediu pra acionar a garantia sem saber qual era o problema, o 0800.648.1005 pra acionar a garantia nao aceita ligacao de celular e o 3003.1005 após atender desliga na cara do consumidor e não atende mas as ligações informando que as posições estão ocupadas. Não recomendo está marca.",1
produto otimo. chegou em perfeito estado e dentro do prazo. muito bom.,5
"Produto chegou antes do tempo ,Meu sobrinho adorou",3
Mochila ótima  Ótimo material e tamanho  Super recomendo.,5
"Foi ótimo comprar de vcs, produto entregue no prazo e em minha residência, meu carro está lindoooo",4
Boa Tarde Eu ainda não recebi o produto por isso não posso avaliar Continuo esperando,1
"Muito Bom!! Otimo Para se exercitar em casa, super resistente, otimo acabamento",4
"Muito fácil de instalar, muito fácil de navegar! Apaixonei!",5
O Babyliss é maravilhoso deixa as ondas do jeito que eu queria,4
"Produto de boa qualidade,entrega antes do previsto. Adoreiiiiii meu produto!!!! Vale muito a pena.",5
"Ciamob um lixo de empresa, prazos de entrega super longos e falta de comunicação com o cliente! Não recomendo pois ainda não recebi",1
Bom dia.conprei esse produto.só q só usei um dia.e não funcionou mas.tentei farias vezes entra encontato c vcs não conseguir.pós estou no aguardo de vcs. Pós o correto é vcs nem dar um outro produto ou o meu dinheiro de volta...,1
Não é nenhum S8 mas pelo custo compensa. Ótima relação custoxbenefício. Só não atribui excelente devido à qualidade das imagens das fotos que ainda fica um pouco a desejar.,4
Como avaliar um produto se eu ainda nem o recebi.. acho q vcs estao muito fora da realidade.. porq nem procuram saber se a venda de vcs foi entregue...,1
"O candelabro e oco, a vela caso vc acenda não tem como colocar outra igual, a cera vem sem proteção (embalagem de alumínio em volta) mais ele é fofinho.",2
"A família aprovou! Melhor que essa aí, só mais uma dessa. Super recomendo! chegou no prazo, imagem linda. Pode comprar que o produto é bom.",4
Solicitei o cancelamento e até o momento não tive o estorno no meu cartão de crédito. Pedido - 02-656815864 e 02- 655373078.  Obrigado.,1
"Gosto muito deste produto, já uso a muito tempo e recomendo.",5
Ainda não recebi o produto dessa PORCARIA desejo receber o mais rapido caso não receba vou entrar com uma ação judicial,1
"O panetone é gostoso, bem úmido e com bastante fritas. É uma delícia.",5
